t,cmd,alpha,u,mach,h
11.482124392373603,0.0,-7.874794055691418e-5,0.08313437877717132,2.8690065370430275,8682.320046806555
11.4830296265728,0.0,-8.404470919505758e-5,0.08305897724907411,2.8689944501138225,8681.9705550911
11.483926394665152,0.0,-9.015380930816884e-5,0.08299229416014531,2.8689824754566766,8681.624325441036
11.484813209739773,0.0,-8.517983138299553e-5,0.08305373501013007,2.8689706329518083,8681.28193213531
11.485695619188036,0.0,-8.425358107587158e-5,0.08306128422052454,2.8689588485385893,8680.941233469228
11.48697723250127,0.0,-7.496244897089932e-5,0.08317135616771462,2.8689417315139423,8680.446390812256
11.487963023344554,0.0,-7.823112638157884e-5,0.08312382600590802,2.868928564382507,8680.065758933784
11.489067178084195,0.0,-8.047262656288769e-5,0.08308588851597254,2.868913815180586,8679.639415136939
11.49011421283574,0.0,-7.617479603260301e-5,0.0831254271195015,2.8688998279158406,8679.23511770728
11.491191059729653,0.0,-7.479586105696506e-5,0.08313023870178363,2.868885441307886,8678.819299433184
11.492406728432693,0.0,-8.301342824040554e-5,0.08301422794035274,2.868869198725167,8678.349864577121
11.493447798963064,0.0,-7.102564207539619e-5,0.08314333680535578,2.868855287838154,8677.947841907759
11.494384017136177,0.0,-7.118394841464785e-5,0.08314205395204359,2.868842777124086,8677.586301680965
11.495902488263269,0.0,-7.051078372786542e-5,0.08310532319442582,2.868822483975355,8676.999897152391
11.49739603729564,0.0,-7.558391451571713e-5,0.08305675296612594,2.8688025217487403,8676.42309892326
11.498707315994196,0.0,-7.771841036017565e-5,0.0830259963481099,2.868784993937735,8675.916677166673
11.500058013977538,0.0,-9.181102828248114e-5,0.0828447338950998,2.868766937511109,8675.395016690896
11.501193558125298,0.0,-8.953066613298725e-5,0.08286807997782919,2.8687517559595275,8674.956440696567
11.502775170917866,0.0,-8.225714470036841e-5,0.08293722270758533,2.8687306086930033,8674.345564166404
11.504077164599812,0.0,-8.821746139853629e-5,0.0828537560019544,2.868713198351751,8673.842671355156
11.505358142449307,0.0,-9.615038098537598e-5,0.08274688794616136,2.868696067463495,8673.347882456967
11.506545036563862,0.0,-9.56733198988958e-5,0.08274286935943398,2.868680193389721,8672.889422415732
11.508314873448946,0.0,-9.300921211549264e-5,0.08276958570056335,2.868656520290763,8672.205768348558
11.50975269022241,0.0,-9.308914846515811e-5,0.08277247466296726,2.868637286049413,8671.650348768791
11.511259560323097,0.0,-7.715155467946849e-5,0.08298315869757775,2.86861712593658,8671.068236500181
11.512491424865765,0.0,-7.678605526671103e-5,0.082984512121938,2.868600643468715,8670.592346632073
11.514077447711138,0.0,-7.783837959577553e-5,0.08298503545792371,2.8685794202093464,8669.979621169849
11.515517365623559,0.0,-7.243464642033088e-5,0.08308017321242132,2.8685601499642845,8669.423322680344
11.51685910983629,0.0,-8.832993491913756e-5,0.0829162554924901,2.868542191796252,8668.904937420584
11.518003499646325,0.0,-9.706574856150497e-5,0.08281928193037284,2.8685268737089764,8668.46278873837
11.519163648991764,0.0,-0.00010789024660439498,0.08268245980349376,2.8685113434077807,8668.014540190197
11.520223303218113,0.0,-0.00010259755408467919,0.08275758866671208,2.8684971572639792,8667.605110514147
11.521408970047142,0.0,-9.263722246589339e-5,0.08288716951383814,2.8684812828529824,8667.146981321835
11.522460642024862,0.0,-9.434488742000409e-5,0.08285678703370505,2.8684672013227916,8666.740616863111
11.52387266025287,0.0,-0.00010766676714249513,0.08269725791047813,2.868448293225771,8666.195001034012
11.524889135106957,0.0,-0.0001074181308188666,0.08270151362420303,2.8684346806095373,8665.80221648464
11.526098772477713,0.0,-9.341783365184386e-5,0.08288814820084293,2.868418479890263,8665.33477925564
11.527064905490072,0.0,-8.835478514727103e-5,0.08293561784849889,2.8684055394343866,8664.961430315976
11.528155448850233,0.0,-8.82255476609243e-5,0.08293205093879351,2.868390931550359,8664.53999557538
11.529562355848682,0.0,-8.089050973115744e-5,0.08301266521643975,2.8683720842973752,8663.99628922195
11.530634653697321,0.0,-8.700042424010344e-5,0.0829622626897445,2.8683577182778484,8663.581883607845
11.53170543024066,0.0,-8.747368624853415e-5,0.08296250216504222,2.868343371547479,8663.168056607657
11.533035984903119,0.0,-8.01348028899184e-5,0.08308818846174901,2.868325542671708,8662.653819376132
11.53417089819486,0.0,-7.308200055399883e-5,0.08317489945570034,2.8683103339743536,8662.215182982967
11.535275591579873,0.0,-6.0316175421394136e-5,0.08334758247007568,2.868295529074253,8661.788216218854
11.536291988571072,0.0,-4.91193541595135e-5,0.0834904504858815,2.868281906479548,8661.39536752194
11.53722822157875,0.0,-5.345579516406994e-5,0.08343986025903986,2.868269357440844,8661.033495611204
11.53827506230979,0.0,-4.141216239431771e-5,0.08358685661668903,2.8682553248563316,8660.6288632527
11.539166661677635,0.0,-3.403319689052663e-5,0.08367731068811336,2.8682433724156047,8660.28422880265
11.540078223184345,0.0,-3.0615062533605414e-5,0.08371500844925567,2.8682311515893755,8659.93187157598
11.541086139910355,0.0,-3.8648685534251944e-5,0.08360263518242843,2.868217638061746,8659.542261004017
11.541928744585727,0.0,-3.1019131679628636e-5,0.08367904984572473,2.868206340193871,8659.216545555391
11.542769552400204,0.0,-3.1408566721061635e-5,0.0836575792483104,2.8681950657449296,8658.891518973558
11.543742919708427,0.0,-4.000814163597446e-5,0.08355502020028142,2.868182012952836,8658.515242480786
